RATIOS-
[0.18965060878771836, 0.1864081524616199, 0.18680518793012177, 0.18667284277395446, 0.18647432503970354]

MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 ngram_notes         5                   8                   identity            False               False               [('0.258', '0.260'), ('0.274', '0.201'), ('0.264', '0.245'), ('0.263', '0.255'), ('0.266', '0.241')]('0.2650', '0.2404')
MLP                 ngram_notes         5                   8                   identity            False               False               [('0.258', '0.260'), ('0.274', '0.201'), ('0.264', '0.245'), ('0.263', '0.255'), ('0.266', '0.241')]('0.2650', '0.2404')
MLP                 ngram_notes         5                   8                   identity            False               False               [('0.258', '0.260'), ('0.274', '0.201'), ('0.264', '0.245'), ('0.263', '0.255'), ('0.266', '0.241')]('0.2650', '0.2404')
MLP                 ngram_notes         6                   1                   identity            False               False               [('0.238', '0.284'), ('0.259', '0.182'), ('0.241', '0.262'), ('0.240', '0.266'), ('0.244', '0.243')]('0.2444', '0.2474')
MLP                 ngram_notes         6                   1                   identity            False               False               [('0.238', '0.284'), ('0.259', '0.182'), ('0.241', '0.262'), ('0.240', '0.266'), ('0.244', '0.243')]('0.2444', '0.2474')
MLP                 ngram_notes         6                   1                   identity            False               False               [('0.238', '0.284'), ('0.259', '0.182'), ('0.241', '0.262'), ('0.240', '0.266'), ('0.244', '0.243')]('0.2444', '0.2474')
MLP                 ngram_notes         6                   2                   identity            False               False               [('0.244', '0.277'), ('0.262', '0.185'), ('0.245', '0.264'), ('0.242', '0.255'), ('0.249', '0.255')]('0.2484', '0.2472')
MLP                 ngram_notes         6                   2                   identity            False               False               [('0.244', '0.277'), ('0.262', '0.185'), ('0.245', '0.264'), ('0.242', '0.255'), ('0.249', '0.255')]('0.2484', '0.2472')
MLP                 ngram_notes         6                   2                   identity            False               False               [('0.244', '0.277'), ('0.262', '0.185'), ('0.245', '0.264'), ('0.242', '0.255'), ('0.249', '0.255')]('0.2484', '0.2472')
MLP                 ngram_notes         6                   3                   identity            False               False               [('0.243', '0.263'), ('0.267', '0.189'), ('0.249', '0.265'), ('0.247', '0.251'), ('0.251', '0.253')]('0.2514', '0.2442')
MLP                 ngram_notes         6                   3                   identity            False               False               [('0.243', '0.263'), ('0.267', '0.189'), ('0.249', '0.265'), ('0.247', '0.251'), ('0.251', '0.253')]('0.2514', '0.2442')
MLP                 ngram_notes         6                   3                   identity            False               False               [('0.243', '0.263'), ('0.267', '0.189'), ('0.249', '0.265'), ('0.247', '0.251'), ('0.251', '0.253')]('0.2514', '0.2442')
MLP                 ngram_notes         6                   4                   identity            False               False               [('0.250', '0.260'), ('0.268', '0.194'), ('0.253', '0.262'), ('0.250', '0.262'), ('0.255', '0.249')]('0.2552', '0.2454')
MLP                 ngram_notes         6                   4                   identity            False               False               [('0.250', '0.260'), ('0.268', '0.194'), ('0.253', '0.262'), ('0.250', '0.262'), ('0.255', '0.249')]('0.2552', '0.2454')
MLP                 ngram_notes         6                   4                   identity            False               False               [('0.250', '0.260'), ('0.268', '0.194'), ('0.253', '0.262'), ('0.250', '0.262'), ('0.255', '0.249')]('0.2552', '0.2454')
MLP                 ngram_notes         6                   5                   identity            False               False               [('0.251', '0.257'), ('0.269', '0.196'), ('0.254', '0.258'), ('0.252', '0.261'), ('0.255', '0.250')]('0.2562', '0.2444')
MLP                 ngram_notes         6                   5                   identity            False               False               [('0.251', '0.257'), ('0.269', '0.196'), ('0.254', '0.258'), ('0.252', '0.261'), ('0.255', '0.250')]('0.2562', '0.2444')
MLP                 ngram_notes         6                   5                   identity            False               False               [('0.251', '0.257'), ('0.269', '0.196'), ('0.254', '0.258'), ('0.252', '0.261'), ('0.255', '0.250')]('0.2562', '0.2444')
